,Country,Date,Confirmed,Deaths,Recovered
0,Austria,2020-01-22,0,0,0
1,Austria,2020-01-23,0,0,0
2,Austria,2020-01-24,0,0,0
3,Austria,2020-01-25,0,0,0
4,Austria,2020-01-26,0,0,0
5,Austria,2020-01-27,0,0,0
6,Austria,2020-01-28,0,0,0
7,Austria,2020-01-29,0,0,0
8,Austria,2020-01-30,0,0,0
9,Austria,2020-01-31,0,0,0
10,Austria,2020-02-01,0,0,0
11,Austria,2020-02-02,0,0,0
12,Austria,2020-02-03,0,0,0
13,Austria,2020-02-04,0,0,0
14,Austria,2020-02-05,0,0,0
15,Austria,2020-02-06,0,0,0
16,Austria,2020-02-07,0,0,0
17,Austria,2020-02-08,0,0,0
18,Austria,2020-02-09,0,0,0
19,Austria,2020-02-10,0,0,0
20,Austria,2020-02-11,0,0,0
21,Austria,2020-02-12,0,0,0
22,Austria,2020-02-13,0,0,0
23,Austria,2020-02-14,0,0,0
24,Austria,2020-02-15,0,0,0
25,Austria,2020-02-16,0,0,0
26,Austria,2020-02-17,0,0,0
27,Austria,2020-02-18,0,0,0
28,Austria,2020-02-19,0,0,0
29,Austria,2020-02-20,0,0,0
30,Austria,2020-02-21,0,0,0
31,Austria,2020-02-22,0,0,0
32,Austria,2020-02-23,0,0,0
33,Austria,2020-02-24,0,0,0
34,Austria,2020-02-25,2,0,0
35,Austria,2020-02-26,2,0,0
36,Austria,2020-02-27,3,0,0
37,Austria,2020-02-28,3,0,0
38,Austria,2020-02-29,9,0,0
39,Austria,2020-03-01,14,0,0
40,Austria,2020-03-02,18,0,0
41,Austria,2020-03-03,21,0,0
42,Austria,2020-03-04,29,0,0
43,Austria,2020-03-05,41,0,0
44,Austria,2020-03-06,55,0,0
45,Austria,2020-03-07,79,0,0
46,Austria,2020-03-08,104,0,0
47,Austria,2020-03-09,131,0,2
48,Austria,2020-03-10,182,0,4
49,Austria,2020-03-11,246,0,4
50,Austria,2020-03-12,302,1,4
51,Austria,2020-03-13,504,1,6
52,Austria,2020-03-14,655,1,6
53,Austria,2020-03-15,860,1,6
54,Austria,2020-03-16,1018,3,6
55,Austria,2020-03-17,1332,3,1
56,Austria,2020-03-18,1646,4,9
57,Austria,2020-03-19,2013,6,9
58,Austria,2020-03-20,2388,6,9
59,Austria,2020-03-21,2814,8,9
60,Austria,2020-03-22,3582,16,9
61,Austria,2020-03-23,4474,21,9
62,Austria,2020-03-24,5283,28,9
63,Austria,2020-03-25,5588,30,9
64,Austria,2020-03-26,6909,49,112
65,Austria,2020-03-27,7657,58,225
66,Austria,2020-03-28,8271,68,225
67,Austria,2020-03-29,8788,86,479
68,Austria,2020-03-30,9618,108,636
69,Austria,2020-03-31,10180,128,1095
70,Austria,2020-04-01,10711,146,1436
71,Austria,2020-04-02,11129,158,1749
72,Austria,2020-04-03,11524,168,2022
73,Austria,2020-04-04,11781,186,2507
74,Austria,2020-04-05,12051,204,2998
75,Austria,2020-04-06,12297,220,3463
76,Austria,2020-04-07,12639,243,4046
77,Austria,2020-04-08,12942,273,4512
78,Austria,2020-04-09,13244,295,5240
79,Austria,2020-04-10,13555,319,6064
80,Austria,2020-04-11,13806,337,6604
81,Austria,2020-04-12,13945,350,6987
82,Austria,2020-04-13,14041,368,7343
83,Austria,2020-04-14,14226,384,7633
84,Austria,2020-04-15,14336,393,8098
85,Austria,2020-04-16,14476,410,8986
86,Austria,2020-04-17,14595,431,9704
87,Austria,2020-04-18,14671,443,10214
88,Austria,2020-04-19,14749,452,10501
89,Austria,2020-04-20,14795,470,10631
90,Austria,2020-04-21,14873,491,10971
91,Austria,2020-04-22,14925,510,11328
92,Austria,2020-04-23,15002,522,11694
93,Austria,2020-04-24,15071,530,11872
94,Austria,2020-04-25,15148,536,12103
95,Austria,2020-04-26,15225,542,12282
96,Austria,2020-04-27,15274,549,12362
