,Country,Date,Confirmed,Deaths,Recovered
0,Belgium,2020-01-22,0,0,0
1,Belgium,2020-01-23,0,0,0
2,Belgium,2020-01-24,0,0,0
3,Belgium,2020-01-25,0,0,0
4,Belgium,2020-01-26,0,0,0
5,Belgium,2020-01-27,0,0,0
6,Belgium,2020-01-28,0,0,0
7,Belgium,2020-01-29,0,0,0
8,Belgium,2020-01-30,0,0,0
9,Belgium,2020-01-31,0,0,0
10,Belgium,2020-02-01,0,0,0
11,Belgium,2020-02-02,0,0,0
12,Belgium,2020-02-03,0,0,0
13,Belgium,2020-02-04,1,0,0
14,Belgium,2020-02-05,1,0,0
15,Belgium,2020-02-06,1,0,0
16,Belgium,2020-02-07,1,0,0
17,Belgium,2020-02-08,1,0,0
18,Belgium,2020-02-09,1,0,0
19,Belgium,2020-02-10,1,0,0
20,Belgium,2020-02-11,1,0,0
21,Belgium,2020-02-12,1,0,0
22,Belgium,2020-02-13,1,0,0
23,Belgium,2020-02-14,1,0,0
24,Belgium,2020-02-15,1,0,0
25,Belgium,2020-02-16,1,0,0
26,Belgium,2020-02-17,1,0,1
27,Belgium,2020-02-18,1,0,1
28,Belgium,2020-02-19,1,0,1
29,Belgium,2020-02-20,1,0,1
30,Belgium,2020-02-21,1,0,1
31,Belgium,2020-02-22,1,0,1
32,Belgium,2020-02-23,1,0,1
33,Belgium,2020-02-24,1,0,1
34,Belgium,2020-02-25,1,0,1
35,Belgium,2020-02-26,1,0,1
36,Belgium,2020-02-27,1,0,1
37,Belgium,2020-02-28,1,0,1
38,Belgium,2020-02-29,1,0,1
39,Belgium,2020-03-01,2,0,1
40,Belgium,2020-03-02,8,0,1
41,Belgium,2020-03-03,13,0,1
42,Belgium,2020-03-04,23,0,1
43,Belgium,2020-03-05,50,0,1
44,Belgium,2020-03-06,109,0,1
45,Belgium,2020-03-07,169,0,1
46,Belgium,2020-03-08,200,0,1
47,Belgium,2020-03-09,239,0,1
48,Belgium,2020-03-10,267,0,1
49,Belgium,2020-03-11,314,3,1
50,Belgium,2020-03-12,314,3,1
51,Belgium,2020-03-13,559,3,1
52,Belgium,2020-03-14,689,4,1
53,Belgium,2020-03-15,886,4,1
54,Belgium,2020-03-16,1058,5,1
55,Belgium,2020-03-17,1243,10,1
56,Belgium,2020-03-18,1486,14,31
57,Belgium,2020-03-19,1795,21,31
58,Belgium,2020-03-20,2257,37,1
59,Belgium,2020-03-21,2815,67,263
60,Belgium,2020-03-22,3401,75,263
61,Belgium,2020-03-23,3743,88,263
62,Belgium,2020-03-24,4269,122,461
63,Belgium,2020-03-25,4937,178,547
64,Belgium,2020-03-26,6235,220,675
65,Belgium,2020-03-27,7284,289,858
66,Belgium,2020-03-28,9134,353,1063
67,Belgium,2020-03-29,10836,431,1359
68,Belgium,2020-03-30,11899,513,1527
69,Belgium,2020-03-31,12775,705,1696
70,Belgium,2020-04-01,13964,828,2132
71,Belgium,2020-04-02,15348,1011,2495
72,Belgium,2020-04-03,16770,1143,2872
73,Belgium,2020-04-04,18431,1283,3247
74,Belgium,2020-04-05,19691,1447,3751
75,Belgium,2020-04-06,20814,1632,3986
76,Belgium,2020-04-07,22194,2035,4157
77,Belgium,2020-04-08,23403,2240,4681
78,Belgium,2020-04-09,24983,2523,5164
79,Belgium,2020-04-10,26667,3019,5568
80,Belgium,2020-04-11,28018,3346,5986
81,Belgium,2020-04-12,29647,3600,6463
82,Belgium,2020-04-13,30589,3903,6707
83,Belgium,2020-04-14,31119,4157,6868
84,Belgium,2020-04-15,33573,4440,7107
85,Belgium,2020-04-16,34809,4857,7562
86,Belgium,2020-04-17,36138,5163,7961
87,Belgium,2020-04-18,37183,5453,8348
88,Belgium,2020-04-19,38496,5683,8757
89,Belgium,2020-04-20,39983,5828,8895
90,Belgium,2020-04-21,40956,5998,9002
91,Belgium,2020-04-22,41889,6262,9433
92,Belgium,2020-04-23,42797,6490,9800
93,Belgium,2020-04-24,44293,6679,10122
94,Belgium,2020-04-25,45325,6917,10417
95,Belgium,2020-04-26,46134,7094,10785
96,Belgium,2020-04-27,46687,7207,10878
