,Country,Date,Confirmed,Deaths,Recovered
0,Czech Republic,2020-01-22,0,0,0
1,Czech Republic,2020-01-23,0,0,0
2,Czech Republic,2020-01-24,0,0,0
3,Czech Republic,2020-01-25,0,0,0
4,Czech Republic,2020-01-26,0,0,0
5,Czech Republic,2020-01-27,0,0,0
6,Czech Republic,2020-01-28,0,0,0
7,Czech Republic,2020-01-29,0,0,0
8,Czech Republic,2020-01-30,0,0,0
9,Czech Republic,2020-01-31,0,0,0
10,Czech Republic,2020-02-01,0,0,0
11,Czech Republic,2020-02-02,0,0,0
12,Czech Republic,2020-02-03,0,0,0
13,Czech Republic,2020-02-04,0,0,0
14,Czech Republic,2020-02-05,0,0,0
15,Czech Republic,2020-02-06,0,0,0
16,Czech Republic,2020-02-07,0,0,0
17,Czech Republic,2020-02-08,0,0,0
18,Czech Republic,2020-02-09,0,0,0
19,Czech Republic,2020-02-10,0,0,0
20,Czech Republic,2020-02-11,0,0,0
21,Czech Republic,2020-02-12,0,0,0
22,Czech Republic,2020-02-13,0,0,0
23,Czech Republic,2020-02-14,0,0,0
24,Czech Republic,2020-02-15,0,0,0
25,Czech Republic,2020-02-16,0,0,0
26,Czech Republic,2020-02-17,0,0,0
27,Czech Republic,2020-02-18,0,0,0
28,Czech Republic,2020-02-19,0,0,0
29,Czech Republic,2020-02-20,0,0,0
30,Czech Republic,2020-02-21,0,0,0
31,Czech Republic,2020-02-22,0,0,0
32,Czech Republic,2020-02-23,0,0,0
33,Czech Republic,2020-02-24,0,0,0
34,Czech Republic,2020-02-25,0,0,0
35,Czech Republic,2020-02-26,0,0,0
36,Czech Republic,2020-02-27,0,0,0
37,Czech Republic,2020-02-28,0,0,0
38,Czech Republic,2020-02-29,0,0,0
39,Czech Republic,2020-03-01,3,0,0
40,Czech Republic,2020-03-02,3,0,0
41,Czech Republic,2020-03-03,5,0,0
42,Czech Republic,2020-03-04,8,0,0
43,Czech Republic,2020-03-05,12,0,0
44,Czech Republic,2020-03-06,18,0,0
45,Czech Republic,2020-03-07,19,0,0
46,Czech Republic,2020-03-08,31,0,0
47,Czech Republic,2020-03-09,31,0,0
48,Czech Republic,2020-03-10,41,0,0
49,Czech Republic,2020-03-11,91,0,0
50,Czech Republic,2020-03-12,94,0,0
51,Czech Republic,2020-03-13,141,0,0
52,Czech Republic,2020-03-14,189,0,0
53,Czech Republic,2020-03-15,253,0,0
54,Czech Republic,2020-03-16,298,0,3
55,Czech Republic,2020-03-17,396,0,3
56,Czech Republic,2020-03-18,464,0,3
57,Czech Republic,2020-03-19,694,0,3
58,Czech Republic,2020-03-20,833,0,4
59,Czech Republic,2020-03-21,995,0,6
60,Czech Republic,2020-03-22,1120,1,6
61,Czech Republic,2020-03-23,1236,1,6
62,Czech Republic,2020-03-24,1394,3,10
63,Czech Republic,2020-03-25,1654,6,10
64,Czech Republic,2020-03-26,1925,9,10
65,Czech Republic,2020-03-27,2279,9,11
66,Czech Republic,2020-03-28,2631,11,11
67,Czech Republic,2020-03-29,2817,16,11
68,Czech Republic,2020-03-30,3001,23,25
69,Czech Republic,2020-03-31,3308,31,45
70,Czech Republic,2020-04-01,3508,39,61
71,Czech Republic,2020-04-02,3858,44,67
72,Czech Republic,2020-04-03,4091,53,72
73,Czech Republic,2020-04-04,4472,59,78
74,Czech Republic,2020-04-05,4587,67,96
75,Czech Republic,2020-04-06,4822,78,121
76,Czech Republic,2020-04-07,5017,88,172
77,Czech Republic,2020-04-08,5312,99,233
78,Czech Republic,2020-04-09,5569,112,301
79,Czech Republic,2020-04-10,5732,119,346
80,Czech Republic,2020-04-11,5831,129,411
81,Czech Republic,2020-04-12,5991,138,464
82,Czech Republic,2020-04-13,6059,143,519
83,Czech Republic,2020-04-14,6111,161,642
84,Czech Republic,2020-04-15,6216,166,819
85,Czech Republic,2020-04-16,6433,169,972
86,Czech Republic,2020-04-17,6549,173,1174
87,Czech Republic,2020-04-18,6606,181,1227
88,Czech Republic,2020-04-19,6746,186,1298
89,Czech Republic,2020-04-20,6900,194,1559
90,Czech Republic,2020-04-21,7033,201,1753
91,Czech Republic,2020-04-22,7132,208,1989
92,Czech Republic,2020-04-23,7187,210,2152
93,Czech Republic,2020-04-24,7273,214,2371
94,Czech Republic,2020-04-25,7352,218,2453
95,Czech Republic,2020-04-26,7404,220,2545
96,Czech Republic,2020-04-27,7445,223,2826
