,Country,Date,Confirmed,Deaths,Recovered
0,Denmark,2020-01-22,0,0,0
1,Denmark,2020-01-23,0,0,0
2,Denmark,2020-01-24,0,0,0
3,Denmark,2020-01-25,0,0,0
4,Denmark,2020-01-26,0,0,0
5,Denmark,2020-01-27,0,0,0
6,Denmark,2020-01-28,0,0,0
7,Denmark,2020-01-29,0,0,0
8,Denmark,2020-01-30,0,0,0
9,Denmark,2020-01-31,0,0,0
10,Denmark,2020-02-01,0,0,0
11,Denmark,2020-02-02,0,0,0
12,Denmark,2020-02-03,0,0,0
13,Denmark,2020-02-04,0,0,0
14,Denmark,2020-02-05,0,0,0
15,Denmark,2020-02-06,0,0,0
16,Denmark,2020-02-07,0,0,0
17,Denmark,2020-02-08,0,0,0
18,Denmark,2020-02-09,0,0,0
19,Denmark,2020-02-10,0,0,0
20,Denmark,2020-02-11,0,0,0
21,Denmark,2020-02-12,0,0,0
22,Denmark,2020-02-13,0,0,0
23,Denmark,2020-02-14,0,0,0
24,Denmark,2020-02-15,0,0,0
25,Denmark,2020-02-16,0,0,0
26,Denmark,2020-02-17,0,0,0
27,Denmark,2020-02-18,0,0,0
28,Denmark,2020-02-19,0,0,0
29,Denmark,2020-02-20,0,0,0
30,Denmark,2020-02-21,0,0,0
31,Denmark,2020-02-22,0,0,0
32,Denmark,2020-02-23,0,0,0
33,Denmark,2020-02-24,0,0,0
34,Denmark,2020-02-25,0,0,0
35,Denmark,2020-02-26,0,0,0
36,Denmark,2020-02-27,1,0,0
37,Denmark,2020-02-28,1,0,0
38,Denmark,2020-02-29,3,0,0
39,Denmark,2020-03-01,4,0,0
40,Denmark,2020-03-02,4,0,0
41,Denmark,2020-03-03,6,0,0
42,Denmark,2020-03-04,11,0,0
43,Denmark,2020-03-05,11,0,0
44,Denmark,2020-03-06,24,0,1
45,Denmark,2020-03-07,24,0,1
46,Denmark,2020-03-08,37,0,1
47,Denmark,2020-03-09,92,0,1
48,Denmark,2020-03-10,264,0,1
49,Denmark,2020-03-11,444,0,1
50,Denmark,2020-03-12,617,0,1
51,Denmark,2020-03-13,804,0,1
52,Denmark,2020-03-14,836,1,1
53,Denmark,2020-03-15,875,2,1
54,Denmark,2020-03-16,933,3,1
55,Denmark,2020-03-17,1025,4,1
56,Denmark,2020-03-18,1116,4,1
57,Denmark,2020-03-19,1225,6,1
58,Denmark,2020-03-20,1337,9,1
59,Denmark,2020-03-21,1420,13,1
60,Denmark,2020-03-22,1514,13,1
61,Denmark,2020-03-23,1572,24,1
62,Denmark,2020-03-24,1718,32,36
63,Denmark,2020-03-25,1862,34,41
64,Denmark,2020-03-26,2023,41,50
65,Denmark,2020-03-27,2200,52,57
66,Denmark,2020-03-28,2366,65,57
67,Denmark,2020-03-29,2564,72,73
68,Denmark,2020-03-30,2755,77,73
69,Denmark,2020-03-31,3039,90,77
70,Denmark,2020-04-01,3290,104,971
71,Denmark,2020-04-02,3573,123,1172
72,Denmark,2020-04-03,3946,139,1287
73,Denmark,2020-04-04,4269,161,1379
74,Denmark,2020-04-05,4561,179,1429
75,Denmark,2020-04-06,4875,187,1489
76,Denmark,2020-04-07,5266,203,1621
77,Denmark,2020-04-08,5597,218,1763
78,Denmark,2020-04-09,5830,237,1883
79,Denmark,2020-04-10,6014,247,1929
80,Denmark,2020-04-11,6191,260,2111
81,Denmark,2020-04-12,6369,273,2291
82,Denmark,2020-04-13,6513,285,2403
83,Denmark,2020-04-14,6706,299,2689
84,Denmark,2020-04-15,6876,309,2925
85,Denmark,2020-04-16,7074,321,3203
86,Denmark,2020-04-17,7268,336,3571
87,Denmark,2020-04-18,7437,346,4031
88,Denmark,2020-04-19,7580,355,4328
89,Denmark,2020-04-20,7711,364,4499
90,Denmark,2020-04-21,7891,370,4889
91,Denmark,2020-04-22,8108,384,5276
92,Denmark,2020-04-23,8271,394,5573
93,Denmark,2020-04-24,8408,403,5715
94,Denmark,2020-04-25,8643,418,5858
95,Denmark,2020-04-26,8773,422,5994
96,Denmark,2020-04-27,8896,427,6148
