,Country,Date,Confirmed,Deaths,Recovered
0,Germany,2020-01-22,0,0,0
1,Germany,2020-01-23,0,0,0
2,Germany,2020-01-24,0,0,0
3,Germany,2020-01-25,0,0,0
4,Germany,2020-01-26,0,0,0
5,Germany,2020-01-27,1,0,0
6,Germany,2020-01-28,4,0,0
7,Germany,2020-01-29,4,0,0
8,Germany,2020-01-30,4,0,0
9,Germany,2020-01-31,5,0,0
10,Germany,2020-02-01,8,0,0
11,Germany,2020-02-02,10,0,0
12,Germany,2020-02-03,12,0,0
13,Germany,2020-02-04,12,0,0
14,Germany,2020-02-05,12,0,0
15,Germany,2020-02-06,12,0,0
16,Germany,2020-02-07,13,0,0
17,Germany,2020-02-08,13,0,0
18,Germany,2020-02-09,14,0,0
19,Germany,2020-02-10,14,0,0
20,Germany,2020-02-11,16,0,0
21,Germany,2020-02-12,16,0,0
22,Germany,2020-02-13,16,0,1
23,Germany,2020-02-14,16,0,1
24,Germany,2020-02-15,16,0,1
25,Germany,2020-02-16,16,0,1
26,Germany,2020-02-17,16,0,1
27,Germany,2020-02-18,16,0,12
28,Germany,2020-02-19,16,0,12
29,Germany,2020-02-20,16,0,12
30,Germany,2020-02-21,16,0,14
31,Germany,2020-02-22,16,0,14
32,Germany,2020-02-23,16,0,14
33,Germany,2020-02-24,16,0,14
34,Germany,2020-02-25,17,0,14
35,Germany,2020-02-26,27,0,15
36,Germany,2020-02-27,46,0,16
37,Germany,2020-02-28,48,0,16
38,Germany,2020-02-29,79,0,16
39,Germany,2020-03-01,130,0,16
40,Germany,2020-03-02,159,0,16
41,Germany,2020-03-03,196,0,16
42,Germany,2020-03-04,262,0,16
43,Germany,2020-03-05,482,0,16
44,Germany,2020-03-06,670,0,17
45,Germany,2020-03-07,799,0,18
46,Germany,2020-03-08,1040,0,18
47,Germany,2020-03-09,1176,2,18
48,Germany,2020-03-10,1457,2,18
49,Germany,2020-03-11,1908,3,25
50,Germany,2020-03-12,2078,3,25
51,Germany,2020-03-13,3675,7,46
52,Germany,2020-03-14,4585,9,46
53,Germany,2020-03-15,5795,11,46
54,Germany,2020-03-16,7272,17,67
55,Germany,2020-03-17,9257,24,67
56,Germany,2020-03-18,12327,28,105
57,Germany,2020-03-19,15320,44,113
58,Germany,2020-03-20,19848,67,180
59,Germany,2020-03-21,22213,84,233
60,Germany,2020-03-22,24873,94,266
61,Germany,2020-03-23,29056,123,266
62,Germany,2020-03-24,32986,157,3243
63,Germany,2020-03-25,37323,206,3547
64,Germany,2020-03-26,43938,267,5673
65,Germany,2020-03-27,50871,342,6658
66,Germany,2020-03-28,57695,433,8481
67,Germany,2020-03-29,62095,533,9211
68,Germany,2020-03-30,66885,645,13500
69,Germany,2020-03-31,71808,775,16100
70,Germany,2020-04-01,77872,920,18700
71,Germany,2020-04-02,84794,1107,22440
72,Germany,2020-04-03,91159,1275,24575
73,Germany,2020-04-04,96092,1444,26400
74,Germany,2020-04-05,100123,1584,28700
75,Germany,2020-04-06,103374,1810,28700
76,Germany,2020-04-07,107663,2016,36081
77,Germany,2020-04-08,113296,2349,46300
78,Germany,2020-04-09,118181,2607,52407
79,Germany,2020-04-10,122171,2767,53913
80,Germany,2020-04-11,124908,2736,57400
81,Germany,2020-04-12,127854,3022,60300
82,Germany,2020-04-13,130072,3194,64300
83,Germany,2020-04-14,131359,3294,68200
84,Germany,2020-04-15,134753,3804,72600
85,Germany,2020-04-16,137698,4052,77000
86,Germany,2020-04-17,141397,4352,83114
87,Germany,2020-04-18,143342,4459,85400
88,Germany,2020-04-19,145184,4586,88000
89,Germany,2020-04-20,147065,4862,91500
90,Germany,2020-04-21,148291,5033,95200
91,Germany,2020-04-22,150648,5279,99400
92,Germany,2020-04-23,153129,5575,103300
93,Germany,2020-04-24,154999,5760,109800
94,Germany,2020-04-25,156513,5877,109800
95,Germany,2020-04-26,157770,5976,112000
96,Germany,2020-04-27,158758,6126,114500
