,Country,Date,Confirmed,Deaths,Recovered
0,Luxembourg,2020-01-22,0,0,0
1,Luxembourg,2020-01-23,0,0,0
2,Luxembourg,2020-01-24,0,0,0
3,Luxembourg,2020-01-25,0,0,0
4,Luxembourg,2020-01-26,0,0,0
5,Luxembourg,2020-01-27,0,0,0
6,Luxembourg,2020-01-28,0,0,0
7,Luxembourg,2020-01-29,0,0,0
8,Luxembourg,2020-01-30,0,0,0
9,Luxembourg,2020-01-31,0,0,0
10,Luxembourg,2020-02-01,0,0,0
11,Luxembourg,2020-02-02,0,0,0
12,Luxembourg,2020-02-03,0,0,0
13,Luxembourg,2020-02-04,0,0,0
14,Luxembourg,2020-02-05,0,0,0
15,Luxembourg,2020-02-06,0,0,0
16,Luxembourg,2020-02-07,0,0,0
17,Luxembourg,2020-02-08,0,0,0
18,Luxembourg,2020-02-09,0,0,0
19,Luxembourg,2020-02-10,0,0,0
20,Luxembourg,2020-02-11,0,0,0
21,Luxembourg,2020-02-12,0,0,0
22,Luxembourg,2020-02-13,0,0,0
23,Luxembourg,2020-02-14,0,0,0
24,Luxembourg,2020-02-15,0,0,0
25,Luxembourg,2020-02-16,0,0,0
26,Luxembourg,2020-02-17,0,0,0
27,Luxembourg,2020-02-18,0,0,0
28,Luxembourg,2020-02-19,0,0,0
29,Luxembourg,2020-02-20,0,0,0
30,Luxembourg,2020-02-21,0,0,0
31,Luxembourg,2020-02-22,0,0,0
32,Luxembourg,2020-02-23,0,0,0
33,Luxembourg,2020-02-24,0,0,0
34,Luxembourg,2020-02-25,0,0,0
35,Luxembourg,2020-02-26,0,0,0
36,Luxembourg,2020-02-27,0,0,0
37,Luxembourg,2020-02-28,0,0,0
38,Luxembourg,2020-02-29,1,0,0
39,Luxembourg,2020-03-01,1,0,0
40,Luxembourg,2020-03-02,1,0,0
41,Luxembourg,2020-03-03,1,0,0
42,Luxembourg,2020-03-04,1,0,0
43,Luxembourg,2020-03-05,1,0,0
44,Luxembourg,2020-03-06,2,0,0
45,Luxembourg,2020-03-07,2,0,0
46,Luxembourg,2020-03-08,3,0,0
47,Luxembourg,2020-03-09,3,0,0
48,Luxembourg,2020-03-10,5,0,0
49,Luxembourg,2020-03-11,7,0,0
50,Luxembourg,2020-03-12,19,0,0
51,Luxembourg,2020-03-13,34,0,0
52,Luxembourg,2020-03-14,51,1,0
53,Luxembourg,2020-03-15,59,1,0
54,Luxembourg,2020-03-16,77,1,0
55,Luxembourg,2020-03-17,140,1,0
56,Luxembourg,2020-03-18,203,2,0
57,Luxembourg,2020-03-19,335,4,0
58,Luxembourg,2020-03-20,484,4,0
59,Luxembourg,2020-03-21,670,8,0
60,Luxembourg,2020-03-22,798,8,6
61,Luxembourg,2020-03-23,875,8,6
62,Luxembourg,2020-03-24,1099,8,6
63,Luxembourg,2020-03-25,1333,8,6
64,Luxembourg,2020-03-26,1453,9,6
65,Luxembourg,2020-03-27,1605,15,40
66,Luxembourg,2020-03-28,1831,18,40
67,Luxembourg,2020-03-29,1950,21,40
68,Luxembourg,2020-03-30,1988,22,40
69,Luxembourg,2020-03-31,2178,23,80
70,Luxembourg,2020-04-01,2319,29,80
71,Luxembourg,2020-04-02,2487,30,80
72,Luxembourg,2020-04-03,2612,31,500
73,Luxembourg,2020-04-04,2729,31,500
74,Luxembourg,2020-04-05,2804,36,500
75,Luxembourg,2020-04-06,2843,41,500
76,Luxembourg,2020-04-07,2970,44,500
77,Luxembourg,2020-04-08,3034,46,500
78,Luxembourg,2020-04-09,3115,52,500
79,Luxembourg,2020-04-10,3223,54,500
80,Luxembourg,2020-04-11,3270,62,500
81,Luxembourg,2020-04-12,3281,66,500
82,Luxembourg,2020-04-13,3292,69,500
83,Luxembourg,2020-04-14,3307,67,500
84,Luxembourg,2020-04-15,3373,69,526
85,Luxembourg,2020-04-16,3444,69,552
86,Luxembourg,2020-04-17,3480,72,579
87,Luxembourg,2020-04-18,3537,72,601
88,Luxembourg,2020-04-19,3550,73,627
89,Luxembourg,2020-04-20,3558,75,637
90,Luxembourg,2020-04-21,3618,78,670
91,Luxembourg,2020-04-22,3654,80,711
92,Luxembourg,2020-04-23,3665,83,728
93,Luxembourg,2020-04-24,3695,85,3007
94,Luxembourg,2020-04-25,3711,85,3088
95,Luxembourg,2020-04-26,3723,88,3104
96,Luxembourg,2020-04-27,3729,88,3123
