,Country,Date,Confirmed,Deaths,Recovered
0,Netherlands,2020-01-22,0,0,0
1,Netherlands,2020-01-23,0,0,0
2,Netherlands,2020-01-24,0,0,0
3,Netherlands,2020-01-25,0,0,0
4,Netherlands,2020-01-26,0,0,0
5,Netherlands,2020-01-27,0,0,0
6,Netherlands,2020-01-28,0,0,0
7,Netherlands,2020-01-29,0,0,0
8,Netherlands,2020-01-30,0,0,0
9,Netherlands,2020-01-31,0,0,0
10,Netherlands,2020-02-01,0,0,0
11,Netherlands,2020-02-02,0,0,0
12,Netherlands,2020-02-03,0,0,0
13,Netherlands,2020-02-04,0,0,0
14,Netherlands,2020-02-05,0,0,0
15,Netherlands,2020-02-06,0,0,0
16,Netherlands,2020-02-07,0,0,0
17,Netherlands,2020-02-08,0,0,0
18,Netherlands,2020-02-09,0,0,0
19,Netherlands,2020-02-10,0,0,0
20,Netherlands,2020-02-11,0,0,0
21,Netherlands,2020-02-12,0,0,0
22,Netherlands,2020-02-13,0,0,0
23,Netherlands,2020-02-14,0,0,0
24,Netherlands,2020-02-15,0,0,0
25,Netherlands,2020-02-16,0,0,0
26,Netherlands,2020-02-17,0,0,0
27,Netherlands,2020-02-18,0,0,0
28,Netherlands,2020-02-19,0,0,0
29,Netherlands,2020-02-20,0,0,0
30,Netherlands,2020-02-21,0,0,0
31,Netherlands,2020-02-22,0,0,0
32,Netherlands,2020-02-23,0,0,0
33,Netherlands,2020-02-24,0,0,0
34,Netherlands,2020-02-25,0,0,0
35,Netherlands,2020-02-26,0,0,0
36,Netherlands,2020-02-27,1,0,0
37,Netherlands,2020-02-28,1,0,0
38,Netherlands,2020-02-29,6,0,0
39,Netherlands,2020-03-01,10,0,0
40,Netherlands,2020-03-02,18,0,0
41,Netherlands,2020-03-03,24,0,0
42,Netherlands,2020-03-04,38,0,0
43,Netherlands,2020-03-05,82,0,0
44,Netherlands,2020-03-06,128,1,0
45,Netherlands,2020-03-07,188,1,0
46,Netherlands,2020-03-08,265,3,0
47,Netherlands,2020-03-09,321,3,0
48,Netherlands,2020-03-10,382,4,0
49,Netherlands,2020-03-11,503,5,0
50,Netherlands,2020-03-12,503,5,0
51,Netherlands,2020-03-13,806,10,0
52,Netherlands,2020-03-14,962,12,2
53,Netherlands,2020-03-15,1138,20,2
54,Netherlands,2020-03-16,1416,24,2
55,Netherlands,2020-03-17,1711,43,2
56,Netherlands,2020-03-18,2058,58,2
57,Netherlands,2020-03-19,2467,77,2
58,Netherlands,2020-03-20,3003,107,2
59,Netherlands,2020-03-21,3640,137,2
60,Netherlands,2020-03-22,4217,180,2
61,Netherlands,2020-03-23,4764,214,2
62,Netherlands,2020-03-24,5580,277,3
63,Netherlands,2020-03-25,6438,357,4
64,Netherlands,2020-03-26,7468,435,6
65,Netherlands,2020-03-27,8647,547,6
66,Netherlands,2020-03-28,9819,640,6
67,Netherlands,2020-03-29,10930,772,253
68,Netherlands,2020-03-30,11817,865,253
69,Netherlands,2020-03-31,12667,1040,253
70,Netherlands,2020-04-01,13696,1175,260
71,Netherlands,2020-04-02,14788,1341,260
72,Netherlands,2020-04-03,15821,1490,260
73,Netherlands,2020-04-04,16727,1656,262
74,Netherlands,2020-04-05,17953,1771,257
75,Netherlands,2020-04-06,18926,1874,258
76,Netherlands,2020-04-07,19709,2108,272
77,Netherlands,2020-04-08,20682,2255,272
78,Netherlands,2020-04-09,21903,2403,278
79,Netherlands,2020-04-10,23249,2520,287
80,Netherlands,2020-04-11,24571,2653,291
81,Netherlands,2020-04-12,25746,2747,295
82,Netherlands,2020-04-13,26710,2833,295
83,Netherlands,2020-04-14,27580,2955,297
84,Netherlands,2020-04-15,28316,3145,304
85,Netherlands,2020-04-16,29383,3327,311
86,Netherlands,2020-04-17,30619,3471,315
87,Netherlands,2020-04-18,31766,3613,317
88,Netherlands,2020-04-19,32838,3697,322
89,Netherlands,2020-04-20,33588,3764,322
90,Netherlands,2020-04-21,34317,3929,74
91,Netherlands,2020-04-22,35032,4068,101
92,Netherlands,2020-04-23,35921,4192,101
93,Netherlands,2020-04-24,36729,4304,102
94,Netherlands,2020-04-25,37384,4424,102
95,Netherlands,2020-04-26,38040,4491,117
96,Netherlands,2020-04-27,38440,4534,117
