,Country,Date,Confirmed,Deaths,Recovered
0,Poland,2020-01-22,0,0,0
1,Poland,2020-01-23,0,0,0
2,Poland,2020-01-24,0,0,0
3,Poland,2020-01-25,0,0,0
4,Poland,2020-01-26,0,0,0
5,Poland,2020-01-27,0,0,0
6,Poland,2020-01-28,0,0,0
7,Poland,2020-01-29,0,0,0
8,Poland,2020-01-30,0,0,0
9,Poland,2020-01-31,0,0,0
10,Poland,2020-02-01,0,0,0
11,Poland,2020-02-02,0,0,0
12,Poland,2020-02-03,0,0,0
13,Poland,2020-02-04,0,0,0
14,Poland,2020-02-05,0,0,0
15,Poland,2020-02-06,0,0,0
16,Poland,2020-02-07,0,0,0
17,Poland,2020-02-08,0,0,0
18,Poland,2020-02-09,0,0,0
19,Poland,2020-02-10,0,0,0
20,Poland,2020-02-11,0,0,0
21,Poland,2020-02-12,0,0,0
22,Poland,2020-02-13,0,0,0
23,Poland,2020-02-14,0,0,0
24,Poland,2020-02-15,0,0,0
25,Poland,2020-02-16,0,0,0
26,Poland,2020-02-17,0,0,0
27,Poland,2020-02-18,0,0,0
28,Poland,2020-02-19,0,0,0
29,Poland,2020-02-20,0,0,0
30,Poland,2020-02-21,0,0,0
31,Poland,2020-02-22,0,0,0
32,Poland,2020-02-23,0,0,0
33,Poland,2020-02-24,0,0,0
34,Poland,2020-02-25,0,0,0
35,Poland,2020-02-26,0,0,0
36,Poland,2020-02-27,0,0,0
37,Poland,2020-02-28,0,0,0
38,Poland,2020-02-29,0,0,0
39,Poland,2020-03-01,0,0,0
40,Poland,2020-03-02,0,0,0
41,Poland,2020-03-03,0,0,0
42,Poland,2020-03-04,1,0,0
43,Poland,2020-03-05,1,0,0
44,Poland,2020-03-06,5,0,0
45,Poland,2020-03-07,5,0,0
46,Poland,2020-03-08,11,0,0
47,Poland,2020-03-09,16,0,0
48,Poland,2020-03-10,22,0,0
49,Poland,2020-03-11,31,0,0
50,Poland,2020-03-12,49,1,0
51,Poland,2020-03-13,68,2,0
52,Poland,2020-03-14,103,3,0
53,Poland,2020-03-15,119,3,0
54,Poland,2020-03-16,177,4,13
55,Poland,2020-03-17,238,5,13
56,Poland,2020-03-18,251,5,13
57,Poland,2020-03-19,355,5,1
58,Poland,2020-03-20,425,5,1
59,Poland,2020-03-21,536,5,1
60,Poland,2020-03-22,634,7,1
61,Poland,2020-03-23,749,8,1
62,Poland,2020-03-24,901,10,1
63,Poland,2020-03-25,1051,14,7
64,Poland,2020-03-26,1221,16,7
65,Poland,2020-03-27,1389,16,7
66,Poland,2020-03-28,1638,18,7
67,Poland,2020-03-29,1862,22,7
68,Poland,2020-03-30,2055,31,7
69,Poland,2020-03-31,2311,33,7
70,Poland,2020-04-01,2554,43,47
71,Poland,2020-04-02,2946,57,56
72,Poland,2020-04-03,3383,71,56
73,Poland,2020-04-04,3627,79,116
74,Poland,2020-04-05,4102,94,134
75,Poland,2020-04-06,4413,107,162
76,Poland,2020-04-07,4848,129,191
77,Poland,2020-04-08,5205,159,222
78,Poland,2020-04-09,5575,174,284
79,Poland,2020-04-10,5955,181,318
80,Poland,2020-04-11,6356,208,375
81,Poland,2020-04-12,6674,232,439
82,Poland,2020-04-13,6934,245,487
83,Poland,2020-04-14,7202,263,618
84,Poland,2020-04-15,7582,286,668
85,Poland,2020-04-16,7918,314,774
86,Poland,2020-04-17,8379,332,866
87,Poland,2020-04-18,8742,347,981
88,Poland,2020-04-19,9287,360,1040
89,Poland,2020-04-20,9593,380,1133
90,Poland,2020-04-21,9856,401,1297
91,Poland,2020-04-22,10169,426,1513
92,Poland,2020-04-23,10511,454,1740
93,Poland,2020-04-24,10892,494,1944
94,Poland,2020-04-25,11273,524,2126
95,Poland,2020-04-26,11617,535,2265
96,Poland,2020-04-27,11902,562,2466
