,Country,Date,Confirmed,Deaths,Recovered
0,Switzerland,2020-01-22,0,0,0
1,Switzerland,2020-01-23,0,0,0
2,Switzerland,2020-01-24,0,0,0
3,Switzerland,2020-01-25,0,0,0
4,Switzerland,2020-01-26,0,0,0
5,Switzerland,2020-01-27,0,0,0
6,Switzerland,2020-01-28,0,0,0
7,Switzerland,2020-01-29,0,0,0
8,Switzerland,2020-01-30,0,0,0
9,Switzerland,2020-01-31,0,0,0
10,Switzerland,2020-02-01,0,0,0
11,Switzerland,2020-02-02,0,0,0
12,Switzerland,2020-02-03,0,0,0
13,Switzerland,2020-02-04,0,0,0
14,Switzerland,2020-02-05,0,0,0
15,Switzerland,2020-02-06,0,0,0
16,Switzerland,2020-02-07,0,0,0
17,Switzerland,2020-02-08,0,0,0
18,Switzerland,2020-02-09,0,0,0
19,Switzerland,2020-02-10,0,0,0
20,Switzerland,2020-02-11,0,0,0
21,Switzerland,2020-02-12,0,0,0
22,Switzerland,2020-02-13,0,0,0
23,Switzerland,2020-02-14,0,0,0
24,Switzerland,2020-02-15,0,0,0
25,Switzerland,2020-02-16,0,0,0
26,Switzerland,2020-02-17,0,0,0
27,Switzerland,2020-02-18,0,0,0
28,Switzerland,2020-02-19,0,0,0
29,Switzerland,2020-02-20,0,0,0
30,Switzerland,2020-02-21,0,0,0
31,Switzerland,2020-02-22,0,0,0
32,Switzerland,2020-02-23,0,0,0
33,Switzerland,2020-02-24,0,0,0
34,Switzerland,2020-02-25,1,0,0
35,Switzerland,2020-02-26,1,0,0
36,Switzerland,2020-02-27,8,0,0
37,Switzerland,2020-02-28,8,0,0
38,Switzerland,2020-02-29,18,0,0
39,Switzerland,2020-03-01,27,0,0
40,Switzerland,2020-03-02,42,0,0
41,Switzerland,2020-03-03,56,0,2
42,Switzerland,2020-03-04,90,0,3
43,Switzerland,2020-03-05,114,1,3
44,Switzerland,2020-03-06,214,1,3
45,Switzerland,2020-03-07,268,1,3
46,Switzerland,2020-03-08,337,2,3
47,Switzerland,2020-03-09,374,2,3
48,Switzerland,2020-03-10,491,3,3
49,Switzerland,2020-03-11,652,4,4
50,Switzerland,2020-03-12,652,4,4
51,Switzerland,2020-03-13,1139,11,4
52,Switzerland,2020-03-14,1359,13,4
53,Switzerland,2020-03-15,2200,14,4
54,Switzerland,2020-03-16,2200,14,4
55,Switzerland,2020-03-17,2700,27,4
56,Switzerland,2020-03-18,3028,28,15
57,Switzerland,2020-03-19,4075,41,15
58,Switzerland,2020-03-20,5294,54,15
59,Switzerland,2020-03-21,6575,75,15
60,Switzerland,2020-03-22,7474,98,131
61,Switzerland,2020-03-23,8795,120,131
62,Switzerland,2020-03-24,9877,122,131
63,Switzerland,2020-03-25,10897,153,131
64,Switzerland,2020-03-26,11811,191,131
65,Switzerland,2020-03-27,12928,231,1530
66,Switzerland,2020-03-28,14076,264,1530
67,Switzerland,2020-03-29,14829,300,1595
68,Switzerland,2020-03-30,15922,359,1823
69,Switzerland,2020-03-31,16605,433,1823
70,Switzerland,2020-04-01,17768,488,2967
71,Switzerland,2020-04-02,18827,536,4013
72,Switzerland,2020-04-03,19606,591,4846
73,Switzerland,2020-04-04,20505,666,6415
74,Switzerland,2020-04-05,21100,715,6415
75,Switzerland,2020-04-06,21657,765,8056
76,Switzerland,2020-04-07,22253,821,8704
77,Switzerland,2020-04-08,23280,895,9800
78,Switzerland,2020-04-09,24051,948,10600
79,Switzerland,2020-04-10,24551,1002,11100
80,Switzerland,2020-04-11,25107,1036,12100
81,Switzerland,2020-04-12,25415,1106,12700
82,Switzerland,2020-04-13,25688,1138,13700
83,Switzerland,2020-04-14,25936,1174,13700
84,Switzerland,2020-04-15,26336,1239,15400
85,Switzerland,2020-04-16,26732,1281,15900
86,Switzerland,2020-04-17,27078,1327,16400
87,Switzerland,2020-04-18,27404,1368,17100
88,Switzerland,2020-04-19,27740,1393,17800
89,Switzerland,2020-04-20,27944,1429,18600
90,Switzerland,2020-04-21,28063,1478,19400
91,Switzerland,2020-04-22,28268,1509,19900
92,Switzerland,2020-04-23,28496,1549,20600
93,Switzerland,2020-04-24,28677,1589,21000
94,Switzerland,2020-04-25,28894,1599,21300
95,Switzerland,2020-04-26,29061,1610,21800
96,Switzerland,2020-04-27,29164,1665,22200
