,Country,Date,Confirmed,Deaths,Recovered
0,Ireland,2020-01-22,0,0,0
1,Ireland,2020-01-23,0,0,0
2,Ireland,2020-01-24,0,0,0
3,Ireland,2020-01-25,0,0,0
4,Ireland,2020-01-26,0,0,0
5,Ireland,2020-01-27,0,0,0
6,Ireland,2020-01-28,0,0,0
7,Ireland,2020-01-29,0,0,0
8,Ireland,2020-01-30,0,0,0
9,Ireland,2020-01-31,0,0,0
10,Ireland,2020-02-01,0,0,0
11,Ireland,2020-02-02,0,0,0
12,Ireland,2020-02-03,0,0,0
13,Ireland,2020-02-04,0,0,0
14,Ireland,2020-02-05,0,0,0
15,Ireland,2020-02-06,0,0,0
16,Ireland,2020-02-07,0,0,0
17,Ireland,2020-02-08,0,0,0
18,Ireland,2020-02-09,0,0,0
19,Ireland,2020-02-10,0,0,0
20,Ireland,2020-02-11,0,0,0
21,Ireland,2020-02-12,0,0,0
22,Ireland,2020-02-13,0,0,0
23,Ireland,2020-02-14,0,0,0
24,Ireland,2020-02-15,0,0,0
25,Ireland,2020-02-16,0,0,0
26,Ireland,2020-02-17,0,0,0
27,Ireland,2020-02-18,0,0,0
28,Ireland,2020-02-19,0,0,0
29,Ireland,2020-02-20,0,0,0
30,Ireland,2020-02-21,0,0,0
31,Ireland,2020-02-22,0,0,0
32,Ireland,2020-02-23,0,0,0
33,Ireland,2020-02-24,0,0,0
34,Ireland,2020-02-25,0,0,0
35,Ireland,2020-02-26,0,0,0
36,Ireland,2020-02-27,0,0,0
37,Ireland,2020-02-28,0,0,0
38,Ireland,2020-02-29,1,0,0
39,Ireland,2020-03-01,1,0,0
40,Ireland,2020-03-02,1,0,0
41,Ireland,2020-03-03,2,0,0
42,Ireland,2020-03-04,6,0,0
43,Ireland,2020-03-05,6,0,0
44,Ireland,2020-03-06,18,0,0
45,Ireland,2020-03-07,18,0,0
46,Ireland,2020-03-08,19,0,0
47,Ireland,2020-03-09,21,0,0
48,Ireland,2020-03-10,34,0,0
49,Ireland,2020-03-11,43,1,0
50,Ireland,2020-03-12,43,1,0
51,Ireland,2020-03-13,90,1,0
52,Ireland,2020-03-14,129,2,0
53,Ireland,2020-03-15,129,2,0
54,Ireland,2020-03-16,169,2,0
55,Ireland,2020-03-17,223,2,5
56,Ireland,2020-03-18,292,2,5
57,Ireland,2020-03-19,557,3,5
58,Ireland,2020-03-20,683,3,5
59,Ireland,2020-03-21,785,3,5
60,Ireland,2020-03-22,906,4,5
61,Ireland,2020-03-23,1125,6,5
62,Ireland,2020-03-24,1329,7,5
63,Ireland,2020-03-25,1564,9,5
64,Ireland,2020-03-26,1819,19,5
65,Ireland,2020-03-27,2121,22,5
66,Ireland,2020-03-28,2415,36,5
67,Ireland,2020-03-29,2615,46,5
68,Ireland,2020-03-30,2910,54,5
69,Ireland,2020-03-31,3235,71,5
70,Ireland,2020-04-01,3447,85,5
71,Ireland,2020-04-02,3849,98,5
72,Ireland,2020-04-03,4273,120,5
73,Ireland,2020-04-04,4604,137,25
74,Ireland,2020-04-05,4994,158,25
75,Ireland,2020-04-06,5364,174,25
76,Ireland,2020-04-07,5709,210,25
77,Ireland,2020-04-08,6074,235,25
78,Ireland,2020-04-09,6574,263,25
79,Ireland,2020-04-10,8089,287,25
80,Ireland,2020-04-11,8928,320,25
81,Ireland,2020-04-12,9655,334,25
82,Ireland,2020-04-13,10647,365,25
83,Ireland,2020-04-14,11479,406,25
84,Ireland,2020-04-15,12547,444,77
85,Ireland,2020-04-16,13271,486,77
86,Ireland,2020-04-17,13980,530,77
87,Ireland,2020-04-18,14758,571,77
88,Ireland,2020-04-19,15251,610,77
89,Ireland,2020-04-20,15652,687,77
90,Ireland,2020-04-21,16040,730,9233
91,Ireland,2020-04-22,16671,769,9233
92,Ireland,2020-04-23,17607,794,9233
93,Ireland,2020-04-24,18184,1014,9233
94,Ireland,2020-04-25,18561,1063,9233
95,Ireland,2020-04-26,19262,1087,9233
96,Ireland,2020-04-27,19648,1102,9233
